City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,shinas,24.7433,56.4658,31.14,49,0,0.84,OM,1714952492
258,arraial do cabo,-22.9661,-42.0278,24.44,91,2,9.33,BR,1714952492
259,boguchany,58.3814,97.4531,11.03,76,100,4.02,RU,1714952493
260,dipayal,29.2608,80.94,21.26,36,3,1.88,NP,1714952493
261,tadine,-21.55,167.8833,24.48,55,27,5.95,NC,1714952493
262,teguise,29.0605,-13.564,17.12,82,20,6.17,ES,1714952493
263,sargatskoye,55.6101,73.4972,0.03,74,6,3.14,RU,1714952493
264,ghadamis,30.1337,9.5007,24.33,18,3,6.19,LY,1714952493
265,la ronge,55.1001,-105.2842,15.14,31,75,5.14,CA,1714952493
266,roma,43.2128,-75.4557,13.71,95,100,3.09,US,1714952494
267,ploermel,47.9317,-2.3978,10.36,96,59,3.07,FR,1714952494
268,okahandja,-21.9833,16.9167,14.97,26,0,3.47,NA,1714952494
269,boende,-0.2167,20.8667,23.51,79,10,0.43,CD,1714952494
270,orchard homes,46.8633,-114.0484,12.0,83,100,1.79,US,1714952494
271,mugia,43.1041,-9.2179,10.51,75,10,1.59,ES,1714952494
272,mbandaka,0.0487,18.2603,24.09,77,40,0.7,CD,1714952494
273,taltal,-25.4,-70.4833,17.59,71,100,1.14,CL,1714952494
274,homer,59.6425,-151.5483,7.94,80,75,5.66,US,1714952494
275,katsuren-haebaru,26.3369,127.8719,28.01,85,40,6.17,JP,1714952495
276,redencao,-4.2258,-38.7306,23.73,96,35,0.23,BR,1714952495
277,luderitz,-26.6481,15.1594,16.04,66,0,3.02,NA,1714952495
278,anna regina,7.2644,-58.5077,26.55,86,100,2.71,GY,1714952495
279,fort bragg,35.139,-79.006,24.85,83,100,2.57,US,1714952495
280,mata-utu,-13.2816,-176.1745,29.16,78,96,5.24,WF,1714952495
281,isangel,-19.55,169.2667,28.06,69,40,2.06,VU,1714952496
282,basco,20.4487,121.9702,28.63,75,72,4.34,PH,1714952496
283,vikhorevka,56.1201,101.1636,12.77,58,97,3.74,RU,1714952496
284,hanzhong,33.0728,107.0303,18.98,75,14,0.69,CN,1714952496
285,keflavik,64.0049,-22.5624,3.81,87,75,7.72,IS,1714952496
286,igarka,67.4667,86.5833,-1.39,93,100,5.58,RU,1714952496
287,pita,10.8333,-12.5833,28.14,70,87,1.97,GN,1714952496
288,rio grande,-32.035,-52.0986,23.06,94,23,2.39,BR,1714952004
289,mount gambier,-37.8333,140.7667,14.34,68,1,4.3,AU,1714952231
290,kailua-kona,19.6406,-155.9956,26.98,76,40,4.63,US,1714952496
291,jayapura,-2.5333,140.7,27.66,68,96,1.7,ID,1714952497
292,cascais,38.6979,-9.4215,16.95,95,100,6.71,PT,1714952497
293,reggane,26.7158,0.1714,28.75,9,0,5.52,DZ,1714952497
294,ta`u,-14.2336,-169.5144,28.3,79,95,3.95,AS,1714952497
295,man,7.4125,-7.5538,23.34,99,100,1.26,CI,1714952497
296,komsomolets,53.7453,62.0708,2.51,54,12,3.59,KZ,1714952497
297,haslev,55.3235,11.9639,9.91,99,80,3.58,DK,1714952497
298,richmond,37.5538,-77.4603,21.27,94,100,2.57,US,1714952455
299,mirny,62.5353,113.9611,-3.2,89,13,0.89,RU,1714952497
300,visby,57.6409,18.296,9.12,66,100,8.75,SE,1714952498
301,rio gallegos,-51.6226,-69.2181,1.03,80,40,6.17,AR,1714952498
302,san julian,21.0167,-102.1667,31.23,9,83,6.47,MX,1714952498
303,charlottetown,46.2352,-63.1267,8.76,75,40,4.63,CA,1714952498
304,tezu,27.9167,96.1667,22.15,57,92,0.09,IN,1714952498
305,lamu,-2.2717,40.902,26.38,87,100,7.71,KE,1714952498
306,gadzhiyevo,69.2551,33.3362,-1.36,89,100,6.37,RU,1714952498
307,kandi,11.1342,2.9386,33.01,39,26,3.35,BJ,1714952498
308,chilliwack,49.1747,-121.9443,11.17,96,100,3.13,CA,1714952041
309,kurmuk,10.55,34.2833,26.76,38,1,1.12,SD,1714952499
310,fehmarn,54.4378,11.1935,10.6,96,75,9.52,DE,1714952499
311,castanos,26.7833,-101.4167,32.77,44,20,4.12,MX,1714952499
312,mejit,10.2753,170.8646,28.06,75,98,7.87,MH,1714952499
313,taulaga,-11.0553,-171.0883,29.57,75,60,4.93,AS,1714952499
314,pionerskiy,54.9508,20.2275,15.08,94,100,4.78,RU,1714952499
315,palikir - national government center,6.9248,158.1611,28.41,74,100,4.12,FM,1714952499
316,tadmur,34.5608,38.2805,15.15,62,0,3.44,SY,1714952500
317,goderich,43.7501,-81.7165,13.18,58,29,4.12,CA,1714952500
318,zunyi,27.6867,106.9072,18.22,81,100,1.3,CN,1714952500
319,le lavandou,43.137,6.366,15.98,89,0,0.0,FR,1714952500
320,pyhajarvi,67.0701,27.2176,-10.95,98,77,1.99,FI,1714952500
321,puerto deseado,-47.7503,-65.8938,5.16,64,54,3.15,AR,1714952500
322,pallisa,1.145,33.7094,18.24,90,97,2.66,UG,1714952501
323,poltavka,54.3663,71.7632,1.44,61,4,3.46,RU,1714952501
324,changde,29.0464,111.6783,20.12,84,100,1.91,CN,1714952501
325,sakakah,29.9697,40.2064,20.76,33,2,8.94,SA,1714952501
